----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    3
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/3
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/3
meta_root                                data/yelp23/3/train-data
[2024-08-03 16:25:49.245290]: context ppl 545.2307 | text ppl 44.1955 | rating loss 0.8843 |  3200/ 9625 batches
[2024-08-03 16:25:55.443978]: context ppl 545.8894 | text ppl 44.0207 | rating loss 0.8825 |  3400/ 9625 batches
[2024-08-03 16:26:01.642574]: context ppl 540.5380 | text ppl 43.9322 | rating loss 0.8666 |  3600/ 9625 batches
[2024-08-03 16:26:07.838858]: context ppl 542.9118 | text ppl 43.7624 | rating loss 0.8690 |  3800/ 9625 batches
[2024-08-03 16:26:14.037543]: context ppl 545.9560 | text ppl 43.7291 | rating loss 0.8816 |  4000/ 9625 batches
[2024-08-03 16:26:20.243055]: context ppl 541.0726 | text ppl 43.6620 | rating loss 0.8957 |  4200/ 9625 batches
[2024-08-03 16:26:26.440665]: context ppl 542.7789 | text ppl 43.6051 | rating loss 0.8786 |  4400/ 9625 batches
[2024-08-03 16:26:32.669022]: context ppl 541.9543 | text ppl 43.5286 | rating loss 0.8655 |  4600/ 9625 batches
[2024-08-03 16:26:38.909072]: context ppl 538.4455 | text ppl 42.4528 | rating loss 0.8723 |  4800/ 9625 batches
[2024-08-03 16:26:45.107502]: context ppl 542.3386 | text ppl 43.0106 | rating loss 0.8726 |  5000/ 9625 batches
[2024-08-03 16:26:51.340787]: context ppl 543.0371 | text ppl 43.1241 | rating loss 0.8775 |  5200/ 9625 batches
[2024-08-03 16:26:57.537751]: context ppl 542.8521 | text ppl 42.7814 | rating loss 0.8754 |  5400/ 9625 batches
[2024-08-03 16:27:03.747621]: context ppl 544.1090 | text ppl 42.7296 | rating loss 0.8729 |  5600/ 9625 batches
[2024-08-03 16:27:09.945167]: context ppl 542.3135 | text ppl 42.6666 | rating loss 0.8694 |  5800/ 9625 batches
[2024-08-03 16:27:16.146142]: context ppl 541.6947 | text ppl 42.3502 | rating loss 0.8631 |  6000/ 9625 batches
[2024-08-03 16:27:22.367796]: context ppl 540.9867 | text ppl 42.4975 | rating loss 0.8673 |  6200/ 9625 batches
[2024-08-03 16:27:28.577788]: context ppl 541.0029 | text ppl 42.2005 | rating loss 0.8585 |  6400/ 9625 batches
[2024-08-03 16:27:34.778177]: context ppl 543.0777 | text ppl 42.2122 | rating loss 0.8827 |  6600/ 9625 batches
[2024-08-03 16:27:40.974487]: context ppl 545.1030 | text ppl 42.5173 | rating loss 0.8682 |  6800/ 9625 batches
[2024-08-03 16:27:47.179418]: context ppl 546.3612 | text ppl 42.4436 | rating loss 0.8553 |  7000/ 9625 batches
[2024-08-03 16:27:53.429201]: context ppl 539.5008 | text ppl 41.7018 | rating loss 0.8739 |  7200/ 9625 batches
[2024-08-03 16:27:59.632699]: context ppl 541.1409 | text ppl 42.1293 | rating loss 0.8693 |  7400/ 9625 batches
[2024-08-03 16:28:05.853985]: context ppl 544.2076 | text ppl 42.2274 | rating loss 0.8530 |  7600/ 9625 batches
[2024-08-03 16:28:12.092873]: context ppl 536.6191 | text ppl 42.1314 | rating loss 0.8652 |  7800/ 9625 batches
[2024-08-03 16:28:18.292353]: context ppl 533.7696 | text ppl 41.6615 | rating loss 0.8547 |  8000/ 9625 batches
[2024-08-03 16:28:24.496533]: context ppl 535.6398 | text ppl 41.9447 | rating loss 0.8548 |  8200/ 9625 batches
[2024-08-03 16:28:30.732985]: context ppl 534.2924 | text ppl 41.8914 | rating loss 0.8568 |  8400/ 9625 batches
[2024-08-03 16:28:36.979482]: context ppl 534.9315 | text ppl 41.3587 | rating loss 0.8550 |  8600/ 9625 batches
[2024-08-03 16:28:43.236897]: context ppl 529.1676 | text ppl 41.5164 | rating loss 0.8610 |  8800/ 9625 batches
[2024-08-03 16:28:49.496297]: context ppl 530.3927 | text ppl 41.5124 | rating loss 0.8592 |  9000/ 9625 batches
[2024-08-03 16:28:55.764765]: context ppl 529.6742 | text ppl 41.5670 | rating loss 0.8569 |  9200/ 9625 batches
[2024-08-03 16:29:02.014512]: context ppl 527.0994 | text ppl 41.4188 | rating loss 0.8601 |  9400/ 9625 batches
[2024-08-03 16:29:08.280156]: context ppl 525.4156 | text ppl 41.3902 | rating loss 0.8540 |  9600/ 9625 batches
[2024-08-03 16:29:09.040864]: context ppl 524.6888 | text ppl 40.4287 | rating loss 0.8587 |  9625/ 9625 batches
[2024-08-03 16:29:24.951897]: context ppl 518.6245 | text ppl 43.3991 | rating loss 0.9225 | valid loss 4.6929 on validation
[2024-08-03 16:29:25.297827]: epoch 4
[2024-08-03 16:29:32.497209]: context ppl 521.9849 | text ppl 39.7593 | rating loss 0.8281 |   200/ 9625 batches
[2024-08-03 16:29:38.758823]: context ppl 516.9260 | text ppl 40.2560 | rating loss 0.8301 |   400/ 9625 batches
[2024-08-03 16:29:45.034051]: context ppl 506.5224 | text ppl 40.2345 | rating loss 0.8400 |   600/ 9625 batches
[2024-08-03 16:29:51.307104]: context ppl 498.2845 | text ppl 40.1739 | rating loss 0.8369 |   800/ 9625 batches
[2024-08-03 16:29:57.580156]: context ppl 496.0657 | text ppl 40.6787 | rating loss 0.8332 |  1000/ 9625 batches
[2024-08-03 16:30:03.839871]: context ppl 489.3491 | text ppl 40.3465 | rating loss 0.8277 |  1200/ 9625 batches
[2024-08-03 16:30:10.098261]: context ppl 484.2207 | text ppl 39.9214 | rating loss 0.8488 |  1400/ 9625 batches
[2024-08-03 16:30:16.352029]: context ppl 480.2096 | text ppl 39.9120 | rating loss 0.8525 |  1600/ 9625 batches
[2024-08-03 16:30:22.609995]: context ppl 476.2662 | text ppl 40.0891 | rating loss 0.8383 |  1800/ 9625 batches
[2024-08-03 16:30:28.866095]: context ppl 473.9835 | text ppl 39.7940 | rating loss 0.8344 |  2000/ 9625 batches
